id,Exited
165034,0.021553654253302412
165035,0.8338165097626097
165036,0.025599652970404806
165037,0.22169820208812602
165038,0.39318721568849974
165039,0.06231961362803831
165040,0.03787684822573541
165041,0.09548371242580042
165042,0.6123043695741124
165043,0.00930817694117032
165044,0.12759720828285637
165045,0.024887533224546853
165046,0.015734841136308235
165047,0.17584987274165817
165048,0.6260373218210459
165049,0.05749050113484817
165050,0.08836705078519007
165051,0.3855870926204276
165052,0.018494571464073788
165053,0.07205864606299248
165054,0.02029549521098975
165055,0.11059431075658938
165056,0.2937298504868377
165057,0.006088999242986873
165058,0.5295667039680407
165059,0.1353166876270657
165060,0.9629651811922125
165061,0.5524280064540451
165062,0.19910825887871902
165063,0.4533442723345218
165064,0.02192047508601927
165065,0.038439453742204276
165066,0.1367197958648746
165067,0.17734854162181887
165068,0.03609190558181788
165069,0.0072371930295296845
165070,0.8040020669388898
165071,0.02722409748947493
165072,0.08929319173568565
165073,0.8984386134096594
165074,0.571235573553258
165075,0.18993599739276604
165076,0.12496199388895403
165077,0.008182389827307632
165078,0.3789544298293918
165079,0.21326580379659693
165080,0.009194705658879044
165081,0.04518002020638686
165082,0.00560319943120779
165083,0.4725685651055102
165084,0.0498016201863893
165085,0.005961008599463001
165086,0.013558756812554204
165087,0.5613399114581206
165088,0.020746188235091455
165089,0.11565390712121269
165090,0.10165247135137706
165091,0.017432766622612336
165092,0.02791397538166071
165093,0.14058609484255882
165094,0.014012800471260417
165095,0.07920308496013628
165096,0.276906033080825
165097,0.14955668340022757
165098,0.028362620144019985
165099,0.010082466069336105
165100,0.8633598309862353
165101,0.05947384794515735
165102,0.07188777424782511
165103,0.012326399145137244
165104,0.15096171436015057
165105,0.522873292116984
165106,0.36537500868523587
165107,0.07238691226716015
165108,0.0224963963446335
165109,0.37140630154674054
165110,0.08158315510398288
165111,0.04747458096059109
165112,0.06962628710090271
165113,0.019514065569337147
165114,0.015503165939818719
165115,0.02213533444842628
165116,0.3801323118335671
165117,0.03217324714936224
165118,0.33885266706170825
165119,0.10449005321847889
165120,0.08501373600828672
165121,0.30215596078103873
165122,0.2688139350091198
165123,0.056684306930609635
165124,0.2639560056408622
165125,0.03200406380541386
165126,0.045537858998462674
165127,0.014615478980257664
165128,0.014125543534028895
165129,0.016890020441601813
165130,0.9641112440637283
165131,0.01905370335903796
165132,0.32461552791800624
165133,0.11740997480018277
165134,0.011358737100270407
165135,0.050470342055915156
165136,0.006030189724902414
165137,0.474751606586482
165138,0.6610327522429486
165139,0.6624580576092094
165140,0.09661381466912111
165141,0.025774820674944045
165142,0.005328847026380254
165143,0.08544772986689855
165144,0.20108346311103797
165145,0.4779297657571872
165146,0.23174212978394187
165147,0.04640097402075533
165148,0.08818829400250866
165149,0.03441051905357819
165150,0.012915591614129874
165151,0.7018956917490579
165152,0.49838870101810095
165153,0.05408953043748133
165154,0.020317679040940017
165155,0.028832184165551562
165156,0.007534463412811337
165157,0.03327686819452857
165158,0.4019796374255857
165159,0.12330851670247034
165160,0.04413492183449057
165161,0.013646451540021226
165162,0.7317197990216081
165163,0.019387899561458442
165164,0.01862498150975071
165165,0.1296050495280819
